WinSSFluxo 1.51 ; ;;;;;;;;;;;;
PRESSAO_ABS ;"96,3"; kPa ; ;;;;;;;;;;
TEMPERATURA ;"25,8"; Celcius ; ;;;;;;;;;;
MODO ; Esttico ; ;;;;;;;;;;;
DATA DA CRIACAO ; 24/11/2023 - 17:55:01 ; ;;;;;;;;;;;
DATA DA MODIFICACAO ; 24/11/2023 - 17:55:01 ; ;;;;;;;;;;;
TIPO ; Exausto ; ;;;;;;;;;;;
DIMETRO_VALVULA ;"24,8375"; ;;;;;;;;;;;
DIMETRO_HASTE ;"4,9325"; ;;;;;;;;;;;
REA_VLVULA ;"9,308"; ;;;;;;;;;;;
FATOR_CORREO ;" 1,07 | 1,08 | 1,03 | 1,02 | 1,05 | 1,05 |  "; ;;;;;;;;;;;
NOTAS ;Sem notas ; ;;;;;;;;;;;
OBSERVAO_1; ;;;;;;;;;;;;
OBSERVAO_2; ;;;;;;;;;;;;
OBSERVAO_3; ;;;;;;;;;;;;
SERIAL ;"2,01054E+14"; ;;;;;;;;;;;
SOBRA1 ;   ; ;;;;;;;;;;;
SOBRA2 ;   ; ;;;;;;;;;;;
NUMERO (uni) ; DEPRESSO (PolH2O) ; FLUXO (Cfm) ; ABERTURA (mm) ; ORIFCIO (uni) ; LEVANTE (uni) ; FLUXO/AREA (Cfm/mm2) ; VELOCIDADE (m/s)  ; ANALGICA 0 (PolH2O) ; ANALGICA 1 (PolH2O) ; ANALGICA 2 (PolH2O) ; ANALGICA 3 (V) ; ANALGICA 4 (V); SWIRL (RPM)
0;0;0;0;0;0;0;  0 0 ;0;0;0;0;0;
1;250.117.289.412.037;259.656.332.788.376;1;25;1;27.896.039.190.844;  4.29285981206178 25.0222767298937 ;916.257.971.381.483;"2,70E+12";  .00487585533 ;  .03413098731 ;0;
2;250.175.475.969.649;539.197.930.852.211;2;50;2;579.284.412.174.701;  4.03713547019361 25.0117542930857 ;979.055.309.615.008;"2,53E+12";  .00487585533 ;  .06338611929 ;0;
3;250.165.459.573.227;757.747.349.713.055;3;100;3;814.081.811.036.802;  4.66979739854948 25.0193521592593 ;483.777.206.645.382;"3,29E+12";  .00487585533 ;  .04388269797 ;0;
4;250.058.068.093.565;91.364.789.765.413;4;100;4;981.572.730.612.516;  4.05501101058335 25.0135543166992 ;726.806.525.001.733;  .023932173416781 ;  .00487585533 ;  .03413098731 ;0;
5;250.220.320.089.625;105.316.362.316.885;5;100;5;113.146.070.387.715;  4.1122812302052 25.0169511926218 ;974.130.916.029.889;"2,66E+12";  .00487585533 ;  .07801368528 ;0;
6;250.428.265.180.263;1.152.627.356.154;6;200;6;123.831.903.325.527;  4.47905894671819 25.0452040498537 ;305.944.795.479.242;"3,12E+12";  .00487585533 ;  .08776539594 ;0;
7;250.252.034.445.456;119.162.391.258.596;7;200;7;128.021.477.501.715;  5.03350420536839 25.0367500690092 ;32.622.701.504.721;"3,90E+12";  .00487585533 ;  .09264125127 ;0;
8;250.198.162.866.705;120.735.168.657.239;8;200;8;129.711.182.485.216;  5.13012919740895 25.0359337685666 ;334.140.134.796.571;  .039868396313153 ;  .00487585533 ;  .05363440863 ;0;
9;250.220.812.538.373;121.744.235.229.815;9;200;9;130.795.267.758.719;  4.77071390974399 25.0353808775668 ;339.734.519.937.326;"3,43E+12";  .00487585533 ;  .09264125127 ;0;
10;250.380.253.576.119;121.680.463.055.735;10;200;10;130.726.754.464.692;  4.08783885968735 25.0355045925902 ;340.205.991.146.672;"2,38E+12";  .00487585533 ;  .03413098731 ;0;
